Registration Number,Action ID,Builder,Promoter Name,Project Name,District,Taluka,Project Type,Approved On,Proposed Completion Date,Proposed Completion Date At Registration,Project Address,Latitude,Longitude,Total Units,Has Quarterly Update,Units Booked (Q3_FY25-26),Units Available (Q3_FY25-26),Units Booked (Q4_FY25-26),Units Available (Q4_FY25-26),Units Booked (Q1_FY26-27),Units Available (Q1_FY26-27)
PRM/KA/RERA/1251/446/PR/171010/000003,6,United Oxygen Company Private Limited,United Oxygen Company Private Limited,Godrej United,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-10,2022-02-28,2021-05-31,"Khatha No. 30, Sy.No. 28/2, Hoodi Village, Whitefield Main Road,, K.R. Puram Hobli, Bangalore East Taluk, Bangalore.",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170824/000032,8,Sobha,SOBHA LIMITED,"Sobha Silicon Oasis Phase 1 Wing 1, 2, 3, 4, 5 & 6",Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-08-24,2019-04-01,2019-04-01,"Nos. 30/21/27, 15/1, 15/2, 16/1 A, B, C and 16/2, Beratena Agrahara Begur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170819/000006,25,Godrej,Godrej Housing Projects LLP,Godrej Air,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-08-19,2023-09-30,2022-12-31,"Khatha No. 365, Sy.No. 13/6, 14/1, 16/4 and 16/5 of Hoodi Village, K.R. Puram Hobli, Bangalore East",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171014/000192,29,VBHC Mumbai Value Homes Pvt Ltd,VBHC Mumbai Value Homes pvt. ltd.,VBHC Palmhaven 2,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-14,2019-06-30,2019-06-30,"25/P,28/1,28/2,29/4,29/6,29/7,29/9,29/10,29/11,29/12,29/13,29/14,29/15,32/1A, , Doddabele Village, Kengeri Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000268,30,Citrus Properties Private Limited,Citrus Properties Private Limited,Polaris,Bengaluru Urban,Bengaluru East,Plotted Development,2017-10-15,2017-12-31,2017-12-31,"Kyalasanahalli Village, K.R. Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/170913/000144,31,VAJRAM ESTATES PRIVATE LIMITED,vajram estates private limited,vajram tiara,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-09-13,2019-12-31,2019-12-31,"yelahankamainroad, nearbmistcollege",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171021/001028,39,saf construction and projects pvt ltd,SAF CONSTRUCTION AND PROJECTS PVT. LTD.,SAF SNOWDROPS ANNEX BLOCK D,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-21,2018-10-02,2017-10-02,"SY. NO. 19/2B, MANGO GARDEN, BEHIND METRO, NEAR DPS, KONANKUNTE CROSS, KANAKAPURA ROAD",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171019/000051,43,SRC DIVAKARS,SRC DIVAKARS,SKY ASTA,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-19,2017-12-31,2017-12-31,"SY NO 8 RAGHUVANAHALLI VILLAGE UTTARAHALLI HOBLI, KANAKAPURA MAIN ROAD BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000301,49,KRISHNA E CAMPUS PVT LTD,KRISHNA E CAMPUS PVT LTD,LAPALAZZO RESIDENCES,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2019-09-30,2018-09-30,"Sy. no. 46/1 47/1,48/1, Ambalipura village varthur Hobli, Bangalore South Taluq, now East Taluq, ORR Junction, Sarjapur Road",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000242,57,August Ventures Private Limited,August Ventures Private Limited,August Grand,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2018-12-31,2018-12-31,"BBMP Khatha No.1071 Sy No 117/1, Doddakkanelli Village Varthur Hobil",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171015/000559,59,Saiven,SAIVEN DEVELOPERS AND CONSTRUCTIONS PVT LTD,SAIVEN SIESTA,Bengaluru Urban,Anekal,Residential/Group Housing,2017-10-15,2020-12-31,2019-12-31,"Sy 115, Chambenahalli Village, , Sarjapura Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171014/000599,73,Sanchaya Land And Estate Pvt Ltd,Sanchaya Land And Estate Pvt Ltd,THE GREENS PHASE II,Bengaluru Urban,Anekal,Residential/Group Housing,2017-10-14,2016-03-31,2016-03-31,"sy no. 188/1,188/2,36/2, bidargere, karpur village",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170824/000049,77,Chartered Housing Pvt Ltd,Chartered Housing Pvt Ltd,Chartered Hummingbird,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-08-24,2018-12-31,2018-12-31,"NO 27, Victoria Road, Bangalore - 560047, NO 27, Victoria Road, Bangalore - 560047",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171222/000932,88,ARATT GRAND TOWN,ARATT GRAND TOWN,ARATT GRAND TOWN,Bengaluru Urban,Anekal,Plotted Development,2017-12-22,2018-12-27,2018-12-27,"SY NO. 19, 60/2, 60/1, 61/2 OF SOPAHALLI VILLAGE, KASABA HOBLI,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171026/000178,89,creative & Srivaru builders,creative & Srivaru builders,SREE PALACE,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-26,2018-12-31,2018-12-31,"NO 40 PID No 96 91 40, HEBBALA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171027/000041,107,UNITECH LTD,UNITECH LTD,UNIWORLD RESORTS,Bengaluru Urban,Anekal,Residential/Group Housing,2017-10-27,2023-12-30,2023-03-31,"SY NO 81 1 2 83 1P 96 2P 97 1 98 1 2 101 1 2 3 102 1, VEERASANDRA VILLAGE ATTIBELE HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170915/000061,128,Mahendra Homes Pvt Ltd,Mahendra Homes Pvt Ltd,Mahendra AARNA,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-15,2019-06-30,2019-06-30,"Sy No110,Kammasandra Village,Attibele Hobli, Anekal Taluk,Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000639,130,DSR,DSR Infrastructure Pvt.Ltd.,DSR LOTUS TOWERS,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2019-09-30,2019-09-30,"BBMP KHATHA NO 604, WARD NO 54, HOODI VILLAGE, K.R.PURAM HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171014/000662,131,Hinduja Projects,hinduja realty ventures limited,ecopolis Block-2,Bengaluru Urban,Bengaluru North,Commercial,2017-10-14,2019-03-31,2019-03-31,"12th mile, near baglur cross, bellary road, Sy No. 155,159, 164, 165, 166, 167, Kattigenahalli Village",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170824/000057,132,Prestige,Prestige Estates Projects Limited,PRESTIGE BOULEVARD,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-08-24,2019-12-25,2019-12-25,"SY. NOS. 60/1A & 63/1A, PATTANDUR AGRAHARA, K.R. PURAM HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170824/000058,138,Prestige,Prestige Estates Projects Limited,Prestige Kew Gardens,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-08-24,2019-12-31,2019-12-31,"Prestige Kew Gardens, Yamalur and Kempapura Village, Varthur Hobli, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171015/000701,149,Sanchaya Land And Estate Pvt Ltd,Sanchaya Land And Estate Pvt Ltd,THE GREENS PHASE I,Bengaluru Urban,Anekal,Residential/Group Housing,2017-10-15,2014-12-31,2014-12-31,"Sy no 35/4,174,224,184/5,189, bidargere, karpur village",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170915/000063,150,RAJARAJESHWARE BUILDDCON PVT LTD,Rajarajeshware builddcon private limited,MANIKCHAND 117FF,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-15,2024-03-31,2020-07-31,"Municipal No.44, Kanakpura Road, 8 th Block (earlier 7 th Block), Jayanagar, Municipal Ward No.58 of Jayanagar, Bangalore (Old Sy.Nos.39/2B, 39/2C- 1 and 39/2C-2, Yediyur Village",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171014/000064,151,Salarpuria Sattva,SALARPURIA PROPERTIES PRIVATE LIMITED,"DIVINITY, a project jointly promoted by Salarpuria and Sattva Group",Bengaluru Urban,Bengaluru South,Mixed Development,2017-10-14,2022-03-30,2021-06-30,"land bearing khatha No.24/20/20/219 issued by BBMP,, Pantharapalya, Kengeri Hobli, Bangalore South Taluk, Mysore Road, Bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171021/000069,157,Value Designbuild Private Limited,Value Designbuild Private Limited,VDB AZURE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-21,2019-12-30,2018-12-31,"Sy No. 136, Gunjur Village, Varthur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170913/000120,158,Sobha,Sobha Limited,Sobha Silicon Oasis Phase 2 Wing 7,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-13,2020-01-01,2020-01-01,"Nos. 30/21/27, 15/1, 15/2, 16/1 A, B, C and 16/2, Beratena Agrahara Begur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000273,160,Griha Promoters Pvt. Ltd,Griha Promoters Pvt. Ltd,Griha Unnathi,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2020-06-30,2019-06-30,"Katha No. 27, Sy. No. 9/4, Kyalasanahalli, Ward No. 25, Horamavy, K.R. Puram",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170905/000072,162,Goodhome Realty Limited,Goodhome Realty Limited,Peninsula Heights,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-05,2019-06-30,2019-03-31,"New Consolidated BBMP Khata nos. 46/1, 46/2, 47/2 and 8/1, 17th Main Road, Marenahalli Village, JP Nagar Phase II, Under BBMP Ward no. 177 (57)",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170915/000155,167,Adarsh,Adarsh Developers,Adarsh Premia - Phase 1,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-15,2027-03-31,2020-06-30,"Ward No.55, Municiple No.3(Old No 52/1A, 56/2,57 & 53,), No 3, Kadirenahalli, Outer ring road, Banashankari,",NA,NA,330,Yes,167,163,171,159,171,159
PRM/KA/RERA/1251/310/PR/170824/000118,169,Sobha,Sobha Limited,Sobha Silicon Oasis Phase 3 Wing 8,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-08-24,2021-04-01,2020-07-01,"Nos. 30/21/27, 15/1, 15/2, 16/1 A, B, C and 16/2, Beratena Agrahara Begur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/170915/000164,170,Sobha,Sobha Limited,Sobha Palm Court,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-09-15,2022-02-01,2021-05-01,"Sy. No. 55/3, 55/4, 55/5, Kogilu Village, Ward No.1, , Yelahanka Hobli, Bangalore Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170824/000077,171,Prestige,PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE LEELA RESIDENCES,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-08-24,2020-11-30,2020-05-31,"23/4 KODIHALLI MAIN ROAD, 6TH CROSS ROAD",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/170915/000234,172,Sobha,Sobha Limited,Sobha Indraprastha,Bengaluru Urban,Bengaluru North,Mixed Development,2017-09-15,2018-12-01,2018-12-01,"19/2 Minerva Mills Gopalpura, Mysore Deviation Road",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170913/000121,174,Sobha,Sobha Limited,Sobha Silicon Oasis Phase 5 Wing 10 & 11,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-13,2021-10-01,2021-01-01,"Nos. 30/21/27, 15/1, 15/2, 16/1 A, B, C and 16/2, Beratena Agrahara Begur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170915/000168,175,Sobha,Sobha Limited,Sobha Dream Acres - Palm Springs Phase 12 Wing 48 and 49,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-09-15,2022-07-01,2021-10-01,"Sy. nos. 47/2, 47/3, 49/1, 49/2, 49/5, 50/1B, 50/2, 50/3, 50/4, 50/5, 50/6, 51/1, 51/2B1, 51/2C1, 51/2B2, 51/2C2, 51/3, 51/4, 53/1, 53/2, 58/1, 58/2, 59/1, 59/3, 59/4, 59/5, 60/1, 60/3, 61/1, 61/2A, 61/2B, 61/03, 62/4B, 63/1, 63/2, 63/3, 63/4, 63/5, 66/1, 66/2, 67/1, 67/2, 75/1, 76/1, 76/2, 76/3, 77/3, 77/4, 77/5, 77/7, 77/8, 77/9, 77/10, Balegere, Varthur",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
